iter	RMSE
0	247.918833
1	231.47983
2	216.2121518
3	202.4104082
4	189.8843361
5	178.544446
6	168.2278869
7	158.9881704
8	150.429312
9	142.4208034
10	135.3485822
11	128.9478891
12	123.2846409
13	118.215557
14	112.7908515
15	107.9358536
16	103.9268338
17	99.80254359
18	96.52345549
19	93.67875521
20	90.59927545
21	88.19524036
22	85.98168003
23	83.94142398
24	82.04428924
25	79.65477989
26	77.44208979
27	75.96166039
28	74.18368342
29	72.61170798
30	71.31995114
31	69.66442082
32	68.30182756
33	67.3606144
34	66.16279947
35	65.14621666
36	64.2606014
37	63.26534537
38	62.04726312
39	61.29576893
40	60.39814146
41	59.54497683
42	58.7723679
43	58.09172235
44	57.59842992
45	57.09432665
46	56.22651809
47	55.62750852
48	55.11492593
49	54.69125796
50	54.19020714
51	53.77324926
52	53.12845587
53	52.69230988
54	52.20405302
55	51.84616678
56	51.21426233
57	50.61354096
58	50.32228709
59	50.08801105
60	49.81444353
61	49.38024047
62	49.01011405
63	48.79800509
64	48.33040971
65	48.06414349
66	47.86574146
67	47.64300672
68	47.17102665
69	46.83799003
70	46.68775086
71	46.42378893
72	46.07635611
73	45.85178617
74	45.50981458
75	45.20494637
76	44.9541916
77	44.76754265
78	44.61894531
79	44.48501702
80	44.32579595
81	44.11405279
82	44.0064501
83	43.87935421
84	43.80649599
85	43.62853047
86	43.40085678
87	43.21045545
88	43.12668055
89	42.98716612
90	42.80476715
91	42.52586449
92	42.38735058
93	42.18386655
94	42.02374648
95	41.88055082
96	41.78200254
97	41.58468961
98	41.50172992
99	41.40174542
100	41.25949241
101	41.18096668
102	41.06380644
103	40.94736034
104	40.84216414
105	40.6745271
106	40.59837167
107	40.48913479
108	40.40987004
109	40.15824017
110	40.0338403
111	39.9606457
112	39.89710406
113	39.780215
114	39.71952419
115	39.63431163
116	39.54540448
117	39.44940913
118	39.41178396
119	39.35627946
120	39.28150402
121	39.1607648
122	39.07888345
123	39.0124559
124	38.95689072
125	38.91918562
126	38.82414629
127	38.77385624
128	38.72858556
129	38.67634442
130	38.6134345
131	38.51846274
132	38.47162851
133	38.41479244
134	38.35694839
135	38.2339317
136	38.11989722
137	38.07965872
138	38.02874829
139	37.96839088
140	37.90517055
141	37.85983098
142	37.8203774
143	37.76329881
144	37.72073536
145	37.68403224
146	37.63722505
147	37.58644153
148	37.53410743
149	37.48508087
150	37.44763646
151	37.40646747
152	37.3348194
153	37.3142406
154	37.27676922
155	37.25107731
156	37.21149388
157	37.18131164
158	37.14063771
159	37.09247553
160	37.0128556
161	36.98632893
162	36.95465247
163	36.9055853
164	36.86261398
165	36.79544037
166	36.68470682
167	36.66095447
168	36.6103614
169	36.5874056
170	36.54587122
171	36.50296864
172	36.46942807
173	36.4295977
174	36.40141245
175	36.37760153
176	36.33572519
177	36.30171338
178	36.25747129
179	36.22665156
180	36.20250076
181	36.17676044
182	36.1447
183	36.12658124
184	36.09159049
185	36.0612143
186	35.91478927
187	35.89115586
188	35.86338488
189	35.82723382
190	35.80208225
191	35.77634141
192	35.74590897
193	35.63977852
194	35.61940983
195	35.59135888
196	35.56755445
197	35.53875135
198	35.49704745
199	35.4582801
200	35.41128697
201	35.38447392
202	35.33714471
203	35.30674165
204	35.28646049
205	35.25927406
206	35.22522785
207	35.18837152
208	35.13977328
209	35.1204281
210	35.09338539
211	35.07394757
212	35.04829079
213	35.01771215
214	34.97401425
215	34.94128923
216	34.91186396
217	34.89376363
218	34.83790794
219	34.81235307
220	34.79401284
221	34.75258166
222	34.73325386
223	34.7041022
224	34.6871514
225	34.6643688
226	34.60831308
227	34.54788226
228	34.53243068
229	34.51418276
230	34.44487871
231	34.38440107
232	34.36714819
233	34.35182127
234	34.30622519
235	34.28435604
236	34.25645756
237	34.22713038
238	34.21055366
239	34.16218279
240	34.05564608
241	34.02448492
242	33.97459516
243	33.91869399
244	33.8938056
245	33.8691361
246	33.83316938
247	33.81767122
248	33.77474868
249	33.74739923
250	33.68101696
251	33.66003817
252	33.62408394
253	33.55082927
254	33.52857954
255	33.50973552
256	33.48998495
257	33.4657092
258	33.36263106
259	33.34394926
260	33.32836756
261	33.26425264
262	33.24096645
263	33.20613337
264	33.18742263
265	33.16300199
266	33.14638034
267	33.12334974
268	33.10652059
269	33.09089249
270	33.07056103
271	33.05636746
272	33.04053536
273	32.98830564
274	32.96071219
275	32.93235849
276	32.91854559
277	32.90686423
278	32.87817937
279	32.85405654
280	32.84028004
281	32.81756066
282	32.78977266
283	32.7672761
284	32.75326795
285	32.73658393
286	32.71297806
287	32.69946189
288	32.68764985
289	32.66669245
290	32.6179963
291	32.57977522
292	32.54847372
293	32.52864673
294	32.51467923
295	32.50219739
296	32.48334833
297	32.47581179
298	32.45185714
299	32.4315712
300	32.38218735
301	32.3614032
302	32.34943471
303	32.33256246
304	32.31541763
305	32.28506339
306	32.26621188
307	32.25729927
308	32.24100274
309	32.18319379
310	32.12000451
311	32.10651681
312	32.09619319
313	32.07840616
314	32.04946185
315	32.02256851
316	32.00877106
317	31.94780886
318	31.9261884
319	31.90616405
320	31.88334553
321	31.8632545
322	31.84411101
323	31.8295855
324	31.81845011
325	31.80388983
326	31.78128374
327	31.76999637
328	31.75474794
329	31.73213058
330	31.72195293
331	31.71004279
332	31.6951689
333	31.68214109
334	31.67107552
335	31.65855068
336	31.64441189
337	31.6362545
338	31.62513215
